GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-core,dev.markitect.liquibase,ScopeManagerHelper,0,20,2,2,0,8,2,2,0,2
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-core,dev.markitect.liquibase.structure,Structures,0,13,0,4,0,2,0,3,0,1
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-core,dev.markitect.liquibase.util,Preconditions,10,74,3,15,1,20,3,12,0,6
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-core,dev.markitect.liquibase.util,Verify,0,34,0,8,0,12,0,8,0,4
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-core,dev.markitect.liquibase.util,Strings,0,16,0,2,0,3,0,3,0,2
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-core,dev.markitect.liquibase.util,VerifyException,0,16,0,0,0,7,0,4,0,4
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-core,dev.markitect.liquibase.exception,UncheckedLiquibaseException,0,9,0,0,0,4,0,2,0,2
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-core,dev.markitect.liquibase.exception,UncheckedDatabaseException,0,9,0,0,0,4,0,2,0,2
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-database,dev.markitect.liquibase.database,DatabaseBuilder,7,195,1,11,2,37,1,15,0,10
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-database,dev.markitect.liquibase.database,MarkitectDatabase,0,106,0,32,0,29,0,19,0,3
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-database,dev.markitect.liquibase.database,MarkitectOfflineConnection,3,17,0,0,0,5,1,3,1,3
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-database,dev.markitect.liquibase.database,OfflineConnectionBuilder,0,325,0,12,0,37,0,19,0,13
markitect-liquibase-coverage-report-aggregate/markitect-liquibase-database-h2,dev.markitect.liquibase.database.h2,MarkitectH2Database,0,26,0,0,0,6,0,6,0,6
