GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database.hsqldb,MarkitectHsqlDatabase,0,38,0,0,0,8,0,8,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.structure,Structures,0,13,0,4,0,2,0,3,0,1
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database.h2,MarkitectH2Database,0,48,0,2,0,10,0,10,0,9
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.precondition,SchemaExistsPrecondition,0,80,0,4,0,23,0,12,0,10
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.precondition,ConnectionCatalogPrecondition,0,71,0,2,0,21,0,9,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.precondition,CatalogExistsPrecondition,0,63,0,2,0,19,0,9,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,SetIdentityInsertStatement.IdentityInsert,0,15,0,0,0,3,0,1,0,1
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,CatalogExistsStatement,0,10,0,0,0,4,0,3,0,3
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,DropSchemaStatement,0,17,0,0,0,7,0,5,0,5
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,DropDatabaseStatement,0,10,0,0,0,4,0,3,0,3
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,CreateDatabaseStatement,0,10,0,0,0,4,0,3,0,3
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,CreateSchemaStatement,0,17,0,0,0,7,0,5,0,5
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,SetIdentityInsertStatement,0,29,0,0,0,11,0,6,0,6
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,InsertOrUpdateExecutablePreparedStatement.PreparedSql,0,31,0,0,0,6,0,3,0,3
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,InsertOrUpdateExecutablePreparedStatement,0,40,0,0,0,11,0,4,0,4
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.statement,SchemaExistsStatement,0,17,0,0,0,7,0,5,0,5
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.change,DropSchemaChange,0,70,0,2,0,17,0,9,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.change,MarkitectLoadDataChange,0,32,0,10,0,3,0,9,0,4
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.change,CreateSchemaChange,0,70,0,2,0,17,0,9,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.change,MarkitectLoadUpdateDataChangeMssql,0,71,0,2,0,16,0,7,0,6
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.change,DropDatabaseChange,0,47,0,0,0,12,0,6,0,6
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.change,MarkitectLoadUpdateDataChange,0,99,0,2,0,17,0,8,0,7
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.change,MarkitectInsertDataChangeMssql,0,71,0,2,0,16,0,7,0,6
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.change,CreateDatabaseChange,0,47,0,0,0,12,0,6,0,6
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.change,MarkitectLoadDataChangeMssql,0,71,0,2,0,16,0,7,0,6
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,CreateDatabaseGenerator,0,76,0,4,0,16,0,6,0,4
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,MarkitectInsertOrUpdateGenerator.ColumnValue,0,41,0,0,0,14,0,7,0,7
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,CatalogExistsGenerator,0,95,0,6,0,24,0,7,0,4
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,MarkitectInsertOrUpdateGeneratorHsql,0,165,1,3,0,38,1,9,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,DropDatabaseGenerator,0,76,0,4,0,16,0,6,0,4
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,CreateSchemaGenerator,0,97,0,8,0,19,0,8,0,4
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,InsertOrUpdateExecutablePreparedStatementGenerator,0,27,0,0,0,9,0,3,0,3
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,MarkitectInsertOrUpdateGeneratorMssql,0,173,1,3,0,40,1,9,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,MarkitectInsertOrUpdateGeneratorH2,0,108,0,0,0,24,0,6,0,6
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,MarkitectInsertOrUpdateGenerator,0,196,1,9,0,51,1,12,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,SchemaExistsGenerator,0,150,0,16,0,37,0,12,0,4
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,MarkitectInsertOrUpdateGeneratorPostgres,0,156,1,3,0,37,1,9,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,SetIdentityInsertGenerator,0,85,0,0,0,20,0,4,0,4
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.sqlgenerator,DropSchemaGenerator,0,97,0,8,0,19,0,8,0,4
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database,DatabaseBuilder,0,121,0,10,0,38,0,14,0,9
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database,MarkitectOfflineConnection,0,31,0,4,0,8,0,7,0,5
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database,Databases,0,89,0,12,0,28,0,8,0,2
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database,OfflineConnectionBuilder,0,128,0,8,0,33,0,14,0,10
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database,DatabaseConnectionBuilder,0,56,0,2,0,16,0,8,0,7
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database,MarkitectDatabase,0,225,0,68,0,60,0,42,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.util,Strings,0,16,0,2,0,3,0,3,0,2
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database.postgresql,MarkitectPostgresDatabase,0,38,0,0,0,8,0,8,0,8
markitect-liquibase-coverage/markitect-liquibase-core,dev.markitect.liquibase.database.mssql,MarkitectMssqlDatabase,0,40,0,0,0,9,0,9,0,9
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,LoggerAdapter.Slf4jAdapter,0,22,0,2,0,5,0,2,0,1
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,LoggerAdapter,0,44,2,9,0,17,2,7,0,3
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,MarkitectLogService,0,12,0,0,0,4,0,3,0,3
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,Slf4jLocationAwareLogger,0,185,0,10,0,42,0,21,0,16
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,LoggerAdapter.LoggingApi,0,21,0,0,0,4,0,1,0,1
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,LoggerAdapter.Log4jAdapter,0,16,0,0,0,4,0,2,0,2
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,Log4jLogger,0,171,0,10,0,48,0,22,0,17
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,LoggerAdapter.JulAdapter,0,8,0,0,0,2,0,1,0,1
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,Slf4jLogger,0,141,0,10,0,46,0,21,0,16
markitect-liquibase-coverage/markitect-liquibase-logging,dev.markitect.liquibase.logging,JulLogger,0,99,0,4,0,32,0,10,0,8
markitect-liquibase-coverage/markitect-liquibase-spring,dev.markitect.liquibase.spring,MarkitectSpringLiquibase,0,26,0,0,0,9,0,4,0,4
markitect-liquibase-coverage/markitect-liquibase-spring,dev.markitect.liquibase.spring,SpringEnvironmentHolder,0,19,0,0,0,7,0,4,0,4
markitect-liquibase-coverage/markitect-liquibase-spring,dev.markitect.liquibase.spring,SpringEnvironmentValueProvider,0,64,0,0,0,17,0,7,0,7
markitect-liquibase-coverage/markitect-liquibase-spring,dev.markitect.liquibase.spring,SpringLiquibaseBeanPostProcessor,0,30,0,4,0,12,0,6,0,4
markitect-liquibase-coverage/markitect-liquibase-spring-boot-starter,dev.markitect.liquibase.spring.boot.autoconfigure,MarkitectLiquibaseAutoConfiguration.LiquibaseAutoConfigurationRuntimeHints,0,9,0,0,0,3,0,2,0,2
markitect-liquibase-coverage/markitect-liquibase-spring-boot-starter,dev.markitect.liquibase.spring.boot.autoconfigure,MarkitectLiquibaseAutoConfiguration,0,5,0,0,0,1,0,1,0,1
markitect-liquibase-coverage/markitect-liquibase-spring-boot-starter,dev.markitect.liquibase.spring.boot.autoconfigure,MarkitectLiquibaseAutoConfiguration.LiquibaseDataSourceCondition,0,4,0,0,0,2,0,1,0,1
markitect-liquibase-coverage/markitect-liquibase-spring-boot-starter,dev.markitect.liquibase.spring.boot.autoconfigure,MarkitectLiquibaseAutoConfiguration.CustomizerConfiguration,7,3,0,0,1,1,2,1,2,1
markitect-liquibase-coverage/markitect-liquibase-spring-boot-starter,dev.markitect.liquibase.spring.boot.autoconfigure,MarkitectLiquibaseAutoConfiguration.MarkitectLiquibaseConfiguration,39,243,0,8,13,71,1,10,1,6
